RT13Id,IsBadBuy
1,0
7,0
8,0
20,0
21,0
25,0
27,0
30,0
32,0
33,0
36,0
41,0
43,0
47,0
51,0
56,0
59,0
62,0
67,0
70,0
71,0
74,0
79,0
82,0
86,0
89,0
90,0
91,0
94,0
100,0
103,0
107,0
111,0
116,0
125,0
130,0
131,0
134,0
141,0
143,0
146,0
147,0
148,0
153,0
154,0
157,0
167,0
168,0
170,0
175,0
184,0
187,0
193,0
195,0
197,0
200,0
202,0
203,0
204,0
205,0
213,0
216,0
217,0
219,0
223,0
228,0
229,0
230,0
232,0
237,0
240,0
242,0
245,0
246,0
248,0
252,0
253,0
255,0
257,0
264,0
269,0
270,0
287,0
291,0
292,0
299,0
304,0
306,0
309,0
311,0
316,0
317,0
320,0
321,0
324,0
329,0
334,0
340,0
342,0
344,0
352,0
355,0
359,0
361,0
365,0
371,0
372,0
373,0
382,0
385,0
386,0
390,0
391,0
392,0
393,0
394,0
396,0
397,0
400,0
401,0
403,0
405,0
408,0
410,0
416,0
418,0
419,0
420,0
422,0
424,0
426,0
427,0
429,0
431,0
432,0
433,0
443,0
448,0
453,0
456,0
462,0
468,0
469,0
470,0
473,0
474,0
475,0
477,0
478,0
479,0
480,0
482,0
488,0
493,0
502,0
503,0
507,0
508,0
509,0
510,0
511,0
514,0
519,0
521,0
527,0
529,0
535,0
537,0
539,0
544,0
549,0
555,0
562,0
563,0
569,0
571,0
573,0
576,0
577,0
587,0
589,0
591,0
594,0
596,0
601,0
604,0
607,0
609,0
610,0
611,0
612,0
617,0
620,0
621,0
625,0
628,0
631,0
634,0
635,0
636,0
646,0
648,0
657,0
658,0
659,0
661,0
664,0
678,0
679,0
681,0
684,0
685,0
690,0
694,0
701,0
702,0
703,0
705,0
706,0
708,0
709,0
710,0
711,0
713,0
714,0
718,0
719,0
726,0
727,0
744,0
745,0
746,0
747,0
750,0
752,0
755,0
758,0
760,0
761,0
764,0
766,0
770,0
775,0
785,0
788,0
791,0
793,0
795,0
796,0
800,0
805,0
810,0
818,0
819,0
820,0
821,0
823,0
824,0
830,0
831,0
833,0
835,0
846,0
851,0
853,0
859,0
863,0
864,0
873,0
874,0
881,0
882,0
887,0
888,0
899,0
900,0
904,0
905,0
908,0
909,0
914,0
919,0
926,0
934,0
937,0
938,0
946,0
956,0
980,0
983,0
984,0
988,0
991,0
993,0
996,0
1001,0
1006,0
1008,0
1013,0
1016,0
1017,0
1019,0
1021,0
1024,0
1026,0
1029,0
1032,0
1033,0
1036,0
1038,0
1039,0
1040,0
1043,0
1044,0
1047,0
1050,0
1052,0
1053,0
1059,0
1060,0
1061,0
1062,0
1063,0
1066,0
1070,0
1073,0
1078,0
1081,0
1096,0
1102,0
1104,0
1106,0
1109,0
1112,0
1115,0
1116,0
1118,0
1122,0
1126,0
1133,0
1135,0
1137,0
1141,0
1152,0
1155,0
1157,0
1161,0
1163,0
1169,0
1170,0
1171,0
1174,0
1176,0
1184,0
1185,0
1188,0
1189,0
1190,0
1191,0
1192,0
1194,0
1195,0
1197,0
1198,0
1202,0
1203,0
1204,0
1208,0
1209,0
1211,0
1215,0
1218,0
1220,0
1224,0
1227,0
1229,0
1235,0
1239,0
1241,0
1244,0
1246,0
1249,0
1251,0
1254,0
1271,0
1272,0
1276,0
1279,0
1283,0
1284,0
1286,0
1287,0
1293,0
1294,0
1296,0
1297,0
1302,0
1310,0
1311,0
1313,0
1314,0
1316,0
1318,0
1321,0
1323,0
1324,0
1328,0
1333,0
1334,0
1340,0
1341,0
1361,0
1363,0
1368,0
1369,0
1370,0
1371,0
1372,0
1376,0
1394,0
1400,0
1405,0
1409,0
1410,0
1413,0
1415,0
1421,0
1426,0
1433,0
1435,0
1440,0
1442,0
1449,0
1452,0
1455,0
1456,0
1462,0
1468,0
1475,0
1480,0
1486,0
1488,0
1494,0
1499,0
1507,0
1510,0
1515,0
1518,0
1525,0
1528,0
1530,0
1532,0
1546,0
1549,0
1555,0
1560,0
1566,0
1567,0
1586,0
1588,0
1591,0
1594,0
1603,0
1605,0
1619,0
1622,0
1626,0
1627,0
1632,0
1634,0
1635,0
1638,0
1640,0
1644,0
1647,0
1651,0
1665,0
1669,0
1673,0
1681,0
1684,0
1688,0
1690,0
1693,0
1698,0
1702,0
1710,0
1717,0
1719,0
1724,0
1725,0
1728,0
1729,0
1731,0
1732,0
1734,0
1748,0
1749,0
1750,0
1752,0
1753,0
1755,0
1759,0
1764,0
1770,0
1772,0
1775,0
1780,0
1790,0
1791,0
1792,0
1795,0
1796,0
1798,0
1800,0
1803,0
1804,0
1808,0
1810,0
1813,0
1814,0
1816,0
1818,0
1820,0
1821,0
1822,0
1829,0
1830,0
1831,0
1832,0
1834,0
1838,0
1841,0
1842,0
1844,0
1846,0
1847,0
1849,0
1853,0
1868,0
1869,0
1870,0
1874,0
1876,0
1877,0
1878,0
1882,0
1892,0
1895,0
1900,0
1910,0
1913,0
1915,0
1917,0
1920,0
1926,0
1931,0
1932,0
1935,0
1937,0
1939,0
1940,0
1942,0
1948,0
1954,0
1957,0
1962,0
1963,0
1966,0
1970,0
1971,0
1976,0
1977,0
1978,0
1979,0
1984,0
1985,0
1987,0
1989,0
1990,0
1994,0
1995,0
1997,0
2000,0
2003,0
2005,0
2006,0
2009,0
2016,0
2020,0
2021,0
2022,0
2028,0
2031,0
2032,0
2035,0
2036,0
2050,0
2051,0
2052,0
2053,0
2060,0
2064,0
2071,0
2072,0
2074,0
2076,0
2079,0
2082,0
2083,0
2094,0
2097,0
2100,0
2109,0
2111,0
2117,0
2119,0
2123,0
2125,0
2126,0
2129,0
2130,0
2132,0
2135,0
2137,0
2138,0
2140,0
2146,0
2147,0
2148,0
2151,0
2152,0
2153,0
2163,0
2166,0
2167,0
2168,0
2172,0
2174,0
2176,0
2178,0
2180,0
2185,0
2188,0
2189,0
2191,0
2193,0
2194,0
2197,0
2198,0
2200,0
2201,0
2202,0
2204,0
2205,0
2210,0
2212,0
2224,0
2230,0
2233,0
2239,0
2243,0
2248,0
2251,0
2253,0
2254,0
2260,0
2265,0
2266,0
2274,0
2277,0
2284,0
2286,0
2287,0
2291,0
2292,0
2293,0
2300,0
2301,0
2304,0
2307,0
2311,0
2313,0
2314,0
2318,0
2326,0
